date,Age
2012-01-01,31
2012-02-01,34
2012-03-01,31
2012-04-01,40
2012-05-01,36
2012-06-01,37
2012-07-01,54
2012-08-01,60
2012-09-01,49
2012-10-01,44
2012-11-01,39
2012-12-01,40
2013-01-01,37
2013-02-01,31
2013-03-01,34
2013-04-01,33
2013-05-01,36
2013-06-01,35
2013-07-01,32
2013-08-01,34
2013-09-01,35
2013-10-01,32
2013-11-01,33
2013-12-01,37
2014-01-01,35
2014-02-01,37
2014-03-01,35
2014-04-01,38
2014-05-01,37
2014-06-01,37
2014-07-01,43
2014-08-01,38
2014-09-01,38
2014-10-01,38
2014-11-01,38
2014-12-01,41
2015-01-01,40
2015-02-01,35
2015-03-01,37
2015-04-01,49
2015-05-01,56
2015-06-01,49
2015-07-01,48
2015-08-01,55
2015-09-01,46
2015-10-01,43
2015-11-01,42
2015-12-01,45
2016-01-01,42
2016-02-01,42
2016-03-01,41
2016-04-01,48
2016-05-01,47
2016-06-01,51
2016-07-01,49
2016-08-01,56
2016-09-01,50
2016-10-01,51
2016-11-01,53
2016-12-01,49
2017-01-01,47
2017-02-01,48
2017-03-01,47
2017-04-01,55
2017-05-01,50
2017-06-01,50
2017-07-01,48
2017-08-01,50
2017-09-01,55
2017-10-01,53
2017-11-01,50
2017-12-01,52
2018-01-01,55
2018-02-01,54
2018-03-01,56
2018-04-01,58
2018-05-01,62
2018-06-01,59
2018-07-01,62
2018-08-01,63
2018-09-01,55
2018-10-01,55
2018-11-01,55
2018-12-01,60
2019-01-01,64
2019-02-01,56
2019-03-01,62
2019-04-01,64
2019-05-01,70
2019-06-01,63
2019-07-01,61
2019-08-01,72
2019-09-01,71
2019-10-01,62
2019-11-01,66
2019-12-01,58
2020-01-01,59
2020-02-01,59
2020-03-01,71
2020-04-01,97
2020-05-01,100
2020-06-01,82
2020-07-01,74
2020-08-01,73
2020-09-01,63
2020-10-01,83
2020-11-01,87
2020-12-01,72
2021-01-01,71
2021-02-01,65
2021-03-01,60
2021-04-01,63
2021-05-01,85
2021-06-01,80
2021-07-01,74
2021-08-01,77
2021-09-01,80
2021-10-01,70
2021-11-01,65
2021-12-01,65
2022-01-01,74
2022-02-01,77
2022-03-01,69
2022-04-01,75
2022-05-01,72
2022-06-01,74
2022-07-01,76
2022-08-01,67
2022-09-01,73
2022-10-01,71
2022-11-01,63
2022-12-01,74
2023-01-01,64
2023-02-01,67
2023-03-01,62
2023-04-01,68
2023-05-01,67
2023-06-01,62
2023-07-01,62
2023-08-01,65
2023-09-01,62
2023-10-01,67
2023-11-01,66
2023-12-01,68
2024-01-01,69
2024-02-01,65
2024-03-01,66
2024-04-01,67
2024-05-01,65
2024-06-01,61
2024-07-01,74
2024-08-01,65
2024-09-01,76
2024-10-01,64
2024-11-01,72
2024-12-01,63
2025-01-01,64
2025-02-01,60
2025-03-01,63
2025-04-01,64
2025-05-01,71
2025-06-01,67
2025-07-01,67
2025-08-01,64
2025-09-01,63
2025-10-01,69
